YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 09 11 00 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 01 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 02 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 03 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 11 04 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 05 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 06 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 07 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 11 08 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 09 999 99.0 99.0  1.30  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 10 999 99.0 99.0  1.30  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 11 11 999 99.0 99.0  1.30  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 11 12 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 13 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 14 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 15 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 16 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 17 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 18 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 11 19 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 11 20 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.3 999.0 99.0 99.00
2004 09 11 21 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.2 999.0 99.0 99.00
2004 09 11 22 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 11 23 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 12 00 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 01 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 12 02 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 12 03 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 04 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 12 05 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 12 06 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 07 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 08 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 09 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 10 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 11 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 12 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 13 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 14 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 15 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 16 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 12 17 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 12 18 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 12 19 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 12 20 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 12 21 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 12 22 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 12 23 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 13 00 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 01 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 02 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 03 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 04 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 05 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 06 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 07 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 08 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 09 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 13 10 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 11 999 99.0 99.0  1.70  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 12 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 13 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 14 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 15 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 16 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 17 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 18 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 13 19 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 20 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 21 999 99.0 99.0  1.70  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 22 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 13 23 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 00 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 14 01 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 02 999 99.0 99.0  1.50  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 14 03 999 99.0 99.0  1.50 15.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 14 04 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 14 05 999 99.0 99.0  1.50 15.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 14 06 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 14 07 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 14 08 999 99.0 99.0  1.40 15.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 14 09 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 10 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 14 11 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 14 12 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 14 13 999 99.0 99.0  1.50  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 14 999 99.0 99.0  1.40  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
