#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 21 00 26 999 99.0 99.0  1.65 12.50 10.21 308 9999.0 999.0  25.7 999.0 99.0 99.00
2022 01 21 00 56 999 99.0 99.0  1.74 13.33 10.08 300 9999.0 999.0  25.7 999.0 99.0 99.00
2022 01 21 01 26 999 99.0 99.0  1.75 12.50 10.14 297 9999.0 999.0  25.6 999.0 99.0 99.00
2022 01 21 01 56 999 99.0 99.0  1.71 11.76  9.86 305 9999.0 999.0  25.6 999.0 99.0 99.00
2022 01 21 02 26 999 99.0 99.0  1.43 14.29  8.93 295 9999.0 999.0  25.7 999.0 99.0 99.00
2022 01 21 02 56 999 99.0 99.0  1.69 13.33  9.87 286 9999.0 999.0  25.7 999.0 99.0 99.00
2022 01 21 03 26 999 99.0 99.0  1.56 12.50  9.58 305 9999.0 999.0  25.6 999.0 99.0 99.00
2022 01 21 03 56 999 99.0 99.0  1.45 12.50  9.22 307 9999.0 999.0  25.6 999.0 99.0 99.00
2022 01 21 04 26 999 99.0 99.0  1.53 13.33  9.51 300 9999.0 999.0  25.5 999.0 99.0 99.00
2022 01 21 04 56 999 99.0 99.0  1.43 13.33  9.45 293 9999.0 999.0  25.5 999.0 99.0 99.00
2022 01 21 05 26 999 99.0 99.0  1.51 13.33  9.88 314 9999.0 999.0  25.5 999.0 99.0 99.00
2022 01 21 05 56 999 99.0 99.0  1.30 13.33  9.55 301 9999.0 999.0  25.5 999.0 99.0 99.00
2022 01 21 06 26 999 99.0 99.0  1.32 14.29  9.71 304 9999.0 999.0  25.5 999.0 99.0 99.00
2022 01 21 06 56 999 99.0 99.0  1.61 13.33 10.35 312 9999.0 999.0  25.5 999.0 99.0 99.00
2022 01 21 07 26 999 99.0 99.0  1.58 13.33 10.82 297 9999.0 999.0  25.4 999.0 99.0 99.00
2022 01 21 07 56 999 99.0 99.0  1.41 13.33  9.98 300 9999.0 999.0  25.4 999.0 99.0 99.00
2022 01 21 08 26 999 99.0 99.0  1.34 13.33 10.32 310 9999.0 999.0  25.4 999.0 99.0 99.00
2022 01 21 08 56 999 99.0 99.0  1.33 13.33 10.52 305 9999.0 999.0  25.4 999.0 99.0 99.00
2022 01 21 09 26 999 99.0 99.0  1.39 12.50 10.49 300 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 09 56 999 99.0 99.0  1.44 13.33 10.63 308 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 10 26 999 99.0 99.0  1.38 12.50 10.40 310 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 10 56 999 99.0 99.0  1.51 13.33 10.74 307 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 11 26 999 99.0 99.0  1.54 13.33 11.06 301 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 11 56 999 99.0 99.0  1.33 13.33 10.07 303 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 12 26 999 99.0 99.0  1.53 13.33 10.55 308 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 12 56 999 99.0 99.0  1.68 13.33 11.01 307 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 13 26 999 99.0 99.0  1.48 13.33 10.49 310 9999.0 999.0  25.2 999.0 99.0 99.00
2022 01 21 13 56 999 99.0 99.0  1.61 12.50 10.95 308 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 14 26 999 99.0 99.0  1.63 12.50 10.87 310 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 14 56 999 99.0 99.0  1.77 12.50 11.22 310 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 15 26 999 99.0 99.0  1.99 13.33 11.67 311 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 15 56 999 99.0 99.0  1.64 12.50 10.96 315 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 16 26 999 99.0 99.0  1.93 14.29 11.46 314 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 16 56 999 99.0 99.0  2.10 14.29 11.65 317 9999.0 999.0  25.3 999.0 99.0 99.00
2022 01 21 17 26 999 99.0 99.0  1.97 13.33 11.48 308 9999.0 999.0  25.3 999.0 99.0 99.00
