#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 02 999 99.0 99.0  1.41 13.33  6.53 314 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 00 32 999 99.0 99.0  1.27 13.33  6.24 317 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 01 02 999 99.0 99.0  1.30 13.33  6.02 327 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 01 32 999 99.0 99.0  1.31 13.33  6.14 323 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 02 02 999 99.0 99.0  1.27 13.33  5.98 317 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 02 32 999 99.0 99.0  1.36 14.29  6.35 302 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 03 32 999 99.0 99.0  1.39 14.29  6.00 318 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 04 02 999 99.0 99.0  1.40 14.29  6.23 335 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 04 32 999 99.0 99.0  1.38 13.33  6.21 317 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 06 02 999 99.0 99.0  1.35 14.29  6.41 313 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 06 32 999 99.0 99.0  1.41 13.33  6.74 313 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 07 02 999 99.0 99.0  1.38 13.33  6.81 321 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 07 32 999 99.0 99.0  1.28 13.33  6.53 303 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 08 32 999 99.0 99.0  1.36 14.29  7.04 313 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 09 02 999 99.0 99.0  1.35 13.33  7.01 327 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 09 32 999 99.0 99.0  1.38 13.33  6.75 320 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 10 02 999 99.0 99.0  1.40 14.29  7.10 314 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 10 32 999 99.0 99.0  1.30 13.33  7.02 309 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 11 02 999 99.0 99.0  1.34 14.29  7.47 318 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 11 32 999 99.0 99.0  1.43 14.29  7.67 307 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 12 02 999 99.0 99.0  1.47 14.29  7.94 304 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 12 32 999 99.0 99.0  1.36 14.29  7.56 309 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 13 02 999 99.0 99.0  1.41 13.33  7.56 307 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 13 32 999 99.0 99.0  1.36 14.29  7.53 309 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 14 02 999 99.0 99.0  1.37 15.38  7.25 314 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 14 32 999 99.0 99.0  1.41 14.29  7.84 311 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 15 02 999 99.0 99.0  1.31 14.29  7.78 310 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 15 32 999 99.0 99.0  1.32 14.29  7.53 313 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 16 02 999 99.0 99.0  1.51 12.50  8.31 320 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 16 32 999 99.0 99.0  1.40 14.29  8.16 309 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 17 02 999 99.0 99.0  1.47 14.29  8.41 311 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 17 32 999 99.0 99.0  1.39 14.29  8.51 314 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 18 02 999 99.0 99.0  1.31 14.29  7.68 304 9999.0 999.0  23.6 999.0 99.0 99.00
2018 01 01 18 32 999 99.0 99.0  1.29 13.33  8.07 311 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 19 02 999 99.0 99.0  1.40 14.29  8.45 317 9999.0 999.0  23.7 999.0 99.0 99.00
2018 01 01 19 32 999 99.0 99.0  1.28 13.33  7.94 317 9999.0 999.0  23.8 999.0 99.0 99.00
2018 01 01 20 02 999 99.0 99.0  1.35 14.29  7.57 314 9999.0 999.0  23.8 999.0 99.0 99.00
2018 01 01 20 32 999 99.0 99.0  1.52 14.29  7.98 309 9999.0 999.0  23.8 999.0 99.0 99.00
2018 01 01 21 02 999 99.0 99.0  1.25 12.50  7.18 316 9999.0 999.0  23.9 999.0 99.0 99.00
2018 01 01 21 32 999 99.0 99.0  1.43 13.33  7.27 317 9999.0 999.0  23.8 999.0 99.0 99.00
2018 01 01 22 02 999 99.0 99.0  1.43 14.29  6.89 310 9999.0 999.0  23.8 999.0 99.0 99.00
2018 01 01 22 32 999 99.0 99.0  1.42 13.33  7.25 306 9999.0 999.0  23.8 999.0 99.0 99.00
