#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 01 03 49 999 99.0 99.0  1.63 13.33  9.30 343 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 05 19 999 99.0 99.0  1.61 13.33  8.88 350 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 05 49 999 99.0 99.0  1.74 14.29  9.64 335 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 06 19 999 99.0 99.0  1.58 14.29  9.06 340 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 06 49 999 99.0 99.0  1.86 14.29 10.18 305 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 07 19 999 99.0 99.0  1.79 13.33 10.27 340 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 07 49 999 99.0 99.0  1.71 14.29  9.62 326 9999.0 999.0  24.7 999.0 99.0 99.00
2009 01 01 08 19 999 99.0 99.0  1.71 14.29  9.54 324 9999.0 999.0  24.8 999.0 99.0 99.00
2009 01 01 08 49 999 99.0 99.0  1.86 14.29  9.59 326 9999.0 999.0  24.8 999.0 99.0 99.00
2009 01 01 09 19 999 99.0 99.0  1.80 15.38  9.57 312 9999.0 999.0  24.7 999.0 99.0 99.00
2009 01 01 09 49 999 99.0 99.0  1.76 14.29  9.14 332 9999.0 999.0  24.8 999.0 99.0 99.00
2009 01 01 10 19 999 99.0 99.0  1.75 14.29  9.60 339 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 10 49 999 99.0 99.0  1.68 13.33  8.89 343 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 11 19 999 99.0 99.0  1.70 13.33  9.32 350 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 11 49 999 99.0 99.0  1.69 13.33  9.77 357 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 12 19 999 99.0 99.0  1.63 15.38  9.53 305 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 12 49 999 99.0 99.0  1.59 13.33  9.64 352 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 13 19 999 99.0 99.0  1.67 14.29  9.96 317 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 13 49 999 99.0 99.0  1.70 14.29 10.08 317 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 14 19 999 99.0 99.0  1.79 13.33  9.87 343 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 14 49 999 99.0 99.0  1.58 14.29  9.30 321 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 15 19 999 99.0 99.0  1.66 13.33  8.78 345 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 15 49 999 99.0 99.0  1.67 12.50  9.04 352 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 16 19 999 99.0 99.0  1.67 15.38  9.38 314 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 16 49 999 99.0 99.0  1.53 13.33  9.34 346 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 17 19 999 99.0 99.0  1.53 14.29  9.39 319 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 17 49 999 99.0 99.0  1.60 14.29  9.58 315 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 18 19 999 99.0 99.0  1.58 12.50  9.79 343 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 01 18 49 999 99.0 99.0  1.48 15.38  9.68 297 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 19 19 999 99.0 99.0  1.44 13.33  9.00 332 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 19 49 999 99.0 99.0  1.36 13.33  9.11 333 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 20 19 999 99.0 99.0  1.58 12.50  9.64 342 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 20 49 999 99.0 99.0  1.43 14.29  9.10 290 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 01 21 19 999 99.0 99.0  1.52 15.38  8.88 308 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 01 21 49 999 99.0 99.0  1.56 13.33  8.66 329 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 01 22 19 999 99.0 99.0  1.48 14.29  8.20 307 9999.0 999.0  25.2 999.0 99.0 99.00
2009 01 01 22 49 999 99.0 99.0  1.56 15.38  8.54 303 9999.0 999.0  25.2 999.0 99.0 99.00
2009 01 01 23 19 999 99.0 99.0  1.55 15.38  8.62 294 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 01 23 49 999 99.0 99.0  1.49 13.33  8.31 308 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 00 19 999 99.0 99.0  1.68 16.67  9.34 308 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 00 49 999 99.0 99.0  1.55 15.38  8.46 314 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 01 19 999 99.0 99.0  1.44 13.33  8.00 312 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 01 49 999 99.0 99.0  1.43 15.38  8.25 305 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 02 19 999 99.0 99.0  1.51 12.50  8.39 336 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 02 49 999 99.0 99.0  1.57 15.38  8.73 310 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 03 19 999 99.0 99.0  1.55 16.67  8.21 300 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 03 49 999 99.0 99.0  1.52 15.38  7.78 304 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 04 19 999 99.0 99.0  1.49 14.29  7.95 300 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 04 49 999 99.0 99.0  1.58 15.38  7.67 300 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 05 19 999 99.0 99.0  1.53 15.38  7.59 291 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 05 49 999 99.0 99.0  1.73 15.38  8.27 294 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 06 19 999 99.0 99.0  1.66 15.38  7.96 295 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 06 49 999 99.0 99.0  1.59 14.29  7.79 298 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 07 19 999 99.0 99.0  1.55 12.50  7.68 329 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 07 49 999 99.0 99.0  1.54 15.38  8.07 295 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 08 19 999 99.0 99.0  1.51 15.38  7.48 301 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 08 49 999 99.0 99.0  1.48 14.29  7.84 301 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 09 19 999 99.0 99.0  1.52 15.38  7.80 301 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 09 49 999 99.0 99.0  1.63 15.38  7.95 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 10 19 999 99.0 99.0  1.52 15.38  7.38 310 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 10 49 999 99.0 99.0  1.51 11.76  7.71 345 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 11 19 999 99.0 99.0  1.60 15.38  7.82 311 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 11 49 999 99.0 99.0  1.57 15.38  7.85 305 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 12 19 999 99.0 99.0  1.61 15.38  7.80 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 12 49 999 99.0 99.0  1.59 14.29  8.12 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 13 19 999 99.0 99.0  1.51 15.38  7.91 303 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 13 49 999 99.0 99.0  1.69 14.29  7.75 307 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 14 19 999 99.0 99.0  1.58 14.29  7.05 315 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 14 49 999 99.0 99.0  1.61 14.29  7.52 311 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 15 19 999 99.0 99.0  1.67 13.33  7.59 305 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 15 49 999 99.0 99.0  1.62 15.38  7.35 301 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 16 19 999 99.0 99.0  1.62 14.29  6.83 305 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 16 49 999 99.0 99.0  1.68 14.29  7.14 307 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 17 19 999 99.0 99.0  1.76 14.29  7.44 311 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 17 49 999 99.0 99.0  1.66 13.33  7.39 307 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 18 19 999 99.0 99.0  1.58 13.33  7.31 310 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 18 49 999 99.0 99.0  1.63 14.29  7.14 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 19 19 999 99.0 99.0  1.60 12.50  7.25 304 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 02 19 49 999 99.0 99.0  1.53 13.33  7.01 315 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 20 19 999 99.0 99.0  1.58 14.29  7.04 301 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 20 49 999 99.0 99.0  1.52 14.29  7.10 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 21 19 999 99.0 99.0  1.61 13.33  7.05 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 21 49 999 99.0 99.0  1.57 14.29  6.84 318 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 22 19 999 99.0 99.0  1.59 14.29  6.75 312 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 22 49 999 99.0 99.0  1.63 15.38  6.72 312 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 02 23 19 999 99.0 99.0  1.48  9.09  6.38  48 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 02 23 49 999 99.0 99.0  1.50 13.33  6.57 310 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 03 00 19 999 99.0 99.0  1.50 12.50  6.75 304 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 00 49 999 99.0 99.0  1.37 14.29  6.30 317 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 03 01 19 999 99.0 99.0  1.57 14.29  6.65 308 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 03 01 49 999 99.0 99.0  1.65 12.50  6.74 312 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 03 02 19 999 99.0 99.0  1.77 12.50  6.77 308 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 03 02 49 999 99.0 99.0  1.73 14.29  6.37 300 9999.0 999.0  25.1 999.0 99.0 99.00
2009 01 03 03 19 999 99.0 99.0  1.89 14.29  6.69 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 03 49 999 99.0 99.0  1.78 12.50  6.45 314 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 04 19 999 99.0 99.0  1.56 14.29  6.27 300 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 04 49 999 99.0 99.0  1.62 13.33  6.67 307 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 05 19 999 99.0 99.0  1.60 13.33  6.58 312 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 05 49 999 99.0 99.0  1.53 14.29  6.43 308 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 06 19 999 99.0 99.0  1.49 14.29  6.59 305 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 06 49 999 99.0 99.0  1.49 13.33  6.54 312 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 07 19 999 99.0 99.0  1.45 15.38  6.60 298 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 07 49 999 99.0 99.0  1.35 14.29  6.00 297 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 08 19 999 99.0 99.0  1.40 14.29  6.47 294 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 08 49 999 99.0 99.0  1.42 14.29  6.49 303 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 09 19 999 99.0 99.0  1.36 13.33  6.34 301 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 09 49 999 99.0 99.0  1.43 13.33  6.13 301 9999.0 999.0  25.0 999.0 99.0 99.00
2009 01 03 10 19 999 99.0 99.0  1.43 12.50  6.20 311 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 10 49 999 99.0 99.0  1.46 11.11  6.03 333 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 11 19 999 99.0 99.0  1.45 13.33  6.16 305 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 11 49 999 99.0 99.0  1.35  9.09  6.07  41 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 12 19 999 99.0 99.0  1.43 14.29  6.21 304 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 12 49 999 99.0 99.0  1.40  9.09  6.39  44 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 13 19 999 99.0 99.0  1.56  8.33  6.18  42 9999.0 999.0  24.9 999.0 99.0 99.00
2009 01 03 13 49 999 99.0 99.0  1.60  9.09  6.03  40 9999.0 999.0  24.8 999.0 99.0 99.00
2009 01 03 14 19 999 99.0 99.0  1.64  7.69  6.04  45 9999.0 999.0  24.9 999.0 99.0 99.00
