Date,WVHT,DPD,MWD,WVHT_Mean,WVHT_Var,Obs
2010-03-23,3.01,15.38,332.0,2.629230769230769,0.03391938461538463,12.0
2010-03-24,2.47,13.33,332.0,2.251923076923077,0.009552153846153839,8.0
2010-03-25,2.22,11.76,335.0,1.9769230769230768,0.014902153846153817,4.0
2010-03-26,1.59,9.88,346.0,1.4226923076923077,0.009444461538461575,4.0
2010-03-27,1.7,14.29,314.0,1.4528,0.007820999999999996,5.0
2010-03-28,2.44,11.76,343.0,2.1866666666666665,0.018344927536231858,6.0
2010-03-29,2.59,18.18,312.0,2.3158333333333334,0.025625362318840595,6.0
2010-03-30,3.55,15.38,328.0,3.0956,0.04728400000000004,14.0
2010-03-31,2.86,13.33,338.0,2.61,0.018527999999999996,8.0
2010-04-01,2.31,8.33,48.0,2.0504,0.025237333333333365,5.0
2010-04-02,2.02,9.88,45.0,1.8023076923076924,0.008218461538461537,4.0
2010-04-03,2.06,7.69,37.0,1.9016,0.0035640000000000025,3.0
2010-04-04,2.34,7.69,37.0,2.2065384615384613,0.006119538461538459,3.0
2010-04-05,2.37,9.09,27.0,2.088076923076923,0.017496153846153856,2.0
2010-04-06,1.78,10.53,11.0,1.6546153846153848,0.0037778461538461416,3.0
2010-04-07,1.41,10.53,0.0,1.3088,0.002286,3.0
2010-04-08,1.63,11.76,324.0,1.4531999999999998,0.005831000000000006,3.0
2010-04-09,1.74,8.33,33.0,1.5857692307692306,0.009033384615384603,2.0
2010-04-10,1.74,14.29,322.0,1.5972,0.005104333333333321,4.0
2010-04-11,1.75,9.09,34.0,1.5356,0.013775666666666695,3.0
2010-04-12,2.18,15.38,305.0,1.575,0.0874782608695653,4.0
2010-04-13,3.48,14.29,359.0,3.1552,0.02715100000000001,8.0
2010-04-14,2.74,11.11,0.0,2.5446153846153843,0.014817846153846199,5.0
2010-04-15,2.52,9.88,356.0,2.210769230769231,0.025879384615384665,5.0
2010-04-16,2.82,9.09,7.0,2.5347999999999997,0.033501,5.0
2010-04-17,3.19,10.53,0.0,2.7916666666666665,0.04656231884057963,6.0
2010-04-18,2.22,9.88,0.0,1.9752,0.014484333333333335,4.0
2010-04-19,1.85,15.38,318.0,1.7275999999999998,0.004435666666666672,4.0
2010-04-20,2.44,13.33,332.0,2.120769230769231,0.014215384615384631,8.0
2010-04-21,2.42,8.33,41.0,2.1604,0.024245666666666634,4.0
2010-04-22,2.54,15.38,321.0,2.1908000000000003,0.021616,8.0
2010-04-23,1.96,14.29,314.0,1.75,0.01039200000000003,6.0
2010-04-24,1.4,11.11,321.0,1.2650000000000001,0.004305999999999993,3.0
2010-04-25,1.13,9.09,33.0,0.9691666666666667,0.006373188405797093,2.0
2010-04-26,1.27,14.29,315.0,1.032,0.016308333333333338,3.0
2010-04-27,1.61,10.53,333.0,1.4266666666666667,0.00631884057971014,4.0
2010-04-28,1.48,6.25,45.0,1.3357692307692306,0.006369384615384635,3.0
2010-04-29,1.53,7.14,42.0,1.3592,0.006657666666666646,2.0
2010-04-30,1.65,8.33,47.0,1.4176923076923076,0.008506461538461534,2.0
2010-05-01,1.4,9.09,48.0,1.228846153846154,0.005938615384615395,3.0
2010-05-02,1.88,9.88,27.0,1.513076923076923,0.026022153846153858,4.0
2010-05-03,2.36,11.76,315.0,1.9063999999999999,0.054523999999999906,7.0
2010-05-04,2.08,11.11,329.0,1.768846153846154,0.008674615384615376,5.0
2010-05-05,1.55,9.09,28.0,1.4043999999999999,0.008500666666666655,3.0
2010-05-06,1.61,8.33,40.0,1.3619230769230768,0.015712153846153844,2.0
2010-05-07,1.63,9.09,51.0,1.50875,0.00562010869565218,2.0
2010-05-08,1.76,9.09,45.0,1.5246153846153847,0.013217846153846146,2.0
2010-05-09,1.68,9.09,48.0,1.4883333333333333,0.005988405797101449,2.0
2010-05-10,1.4,9.09,44.0,1.2651999999999999,0.003209333333333331,2.0
2010-05-11,1.38,9.88,49.0,1.2111999999999998,0.0041193333333333386,2.0
2010-05-12,1.67,11.11,322.0,1.3826923076923079,0.025228461538461554,3.0
2010-05-13,1.58,8.33,41.0,1.4242307692307692,0.008161384615384615,3.0
2010-05-14,1.34,9.88,21.0,1.1892307692307693,0.009295384615384643,2.0
2010-05-15,1.25,7.14,44.0,1.1296000000000002,0.004012333333333325,1.0
2010-05-16,1.07,6.25,47.0,0.9488,0.006494333333333328,1.0
2010-05-17,1.07,15.38,312.0,0.9740000000000001,0.0023166666666666665,3.0
2010-05-18,1.03,13.33,318.0,0.9128000000000001,0.004029333333333335,3.0
2010-05-19,0.99,11.76,322.0,0.9142307692307692,0.0035213846153846133,2.0
2010-05-20,1.34,10.53,353.0,1.2476923076923077,0.0029944615384615483,2.0
2010-05-21,1.77,7.69,44.0,1.56375,0.015554891304347828,2.0
2010-05-22,1.54,7.69,40.0,1.38,0.008216666666666641,2.0
2010-05-23,1.92,8.33,42.0,1.618846153846154,0.016914615384615393,2.0
2010-05-24,1.81,9.09,40.0,1.5424,0.01662733333333334,2.0
2010-05-25,1.56,7.69,49.0,1.331923076923077,0.010128153846153844,1.0
2010-05-26,1.27,7.69,51.0,1.126,0.008266666666666644,1.0
2010-05-27,0.99,7.69,47.0,0.8088461538461539,0.013914615384615388,1.0
2010-05-28,0.96,6.25,48.0,0.7638461538461538,0.007784615384615389,1.0
2010-05-29,1.47,11.76,314.0,1.1084615384615384,0.044077538461538474,5.0
2010-05-30,1.83,11.11,319.0,1.6488,0.0063276666666666525,5.0
2010-05-31,1.78,11.11,324.0,1.584230769230769,0.007145384615384624,5.0
2010-06-01,1.45,11.11,325.0,1.3120833333333335,0.0031998188405797045,3.0
2010-06-02,1.15,9.09,353.0,0.9858333333333333,0.005486231884057969,2.0
2010-06-03,1.01,9.88,340.0,0.8884615384615385,0.0058615384615384606,1.0
2010-06-04,0.87,9.09,324.0,0.7588461538461538,0.0020586153846153823,1.0
2010-06-05,0.89,9.09,331.0,0.8053846153846155,0.001257846153846155,1.0
2010-06-06,0.86,7.69,336.0,0.7946153846153846,0.002225846153846152,1.0
2010-06-07,0.86,8.33,2.0,0.7879999999999999,0.002016666666666667,1.0
2010-06-08,1.08,5.88,49.0,0.96,0.003266666666666675,1.0
2010-06-09,1.31,7.14,47.0,1.1452,0.006367666666666661,2.0
2010-06-10,1.31,6.25,44.0,1.1456,0.0035840000000000025,2.0
2010-06-11,1.14,7.69,47.0,1.0042307692307693,0.005361384615384618,2.0
2010-06-12,1.21,6.25,47.0,1.0075,0.011028260869565211,2.0
2010-06-13,1.42,9.09,332.0,1.2848,0.006967666666666666,1.0
2010-06-14,1.35,9.09,30.0,1.17625,0.007920108695652194,1.0
2010-06-15,1.46,10.53,3.0,1.2370833333333333,0.008343297101449317,4.0
2010-06-16,1.56,9.88,31.0,1.3384615384615384,0.014197538461538475,3.0
2010-06-17,1.66,9.88,28.0,1.4476,0.013519000000000015,2.0
2010-06-18,1.68,9.88,28.0,1.5084,0.005072333333333346,2.0
2010-06-19,1.58,9.09,31.0,1.412608695652174,0.0036110671936758864,2.0
2010-06-20,1.49,8.33,34.0,1.39875,0.00440271739130432,2.0
2010-06-21,1.61,8.33,35.0,1.3228,0.012262666666666665,2.0
2010-06-22,1.47,7.69,35.0,1.2865384615384616,0.00871153846153846,2.0
2010-06-23,1.66,7.14,47.0,1.5332,0.010072666666666659,2.0
2010-06-24,1.72,7.14,49.0,1.434782608695652,0.013498814229249001,2.0
2010-06-25,1.34,6.67,38.0,1.1645833333333333,0.00875634057971016,2.0
2010-06-26,1.42,8.33,42.0,1.293076923076923,0.00487015384615385,2.0
2010-06-27,1.22,8.33,30.0,1.1232,0.0061393333333333135,2.0
2010-06-28,1.1,7.69,28.0,1.0036,0.0030573333333333394,2.0
2010-06-29,1.13,5.26,48.0,0.9628,0.006087666666666675,1.0
2010-06-30,1.06,5.56,44.0,0.9404166666666667,0.005430253623188397,1.0
2010-07-01,1.41,7.14,38.0,1.2244,0.014242333333333357,1.0
2010-07-02,1.53,7.69,30.0,1.4230769230769231,0.006182153846153846,1.0
2010-07-03,1.55,8.33,35.0,1.4184615384615387,0.005837538461538473,1.0
2010-07-04,1.25,9.09,48.0,1.10375,0.007789673913043494,1.0
2010-07-05,1.19,5.56,34.0,1.0504,0.002870666666666652,1.0
2010-07-06,1.01,5.88,47.0,0.9308,0.005191000000000004,1.0
2010-07-07,1.07,6.67,38.0,0.9788461538461538,0.0019706153846153793,1.0
2010-07-08,1.35,7.14,44.0,1.1523076923076923,0.008370461538461518,1.0
2010-07-09,1.36,10.53,41.0,1.2180952380952381,0.004226190476190491,1.0
2010-07-10,1.75,7.14,38.0,1.5684615384615386,0.01284553846153847,2.0
2010-07-11,1.91,8.33,31.0,1.6853846153846155,0.01909784615384612,3.0
2010-07-12,1.8,9.09,16.0,1.665769230769231,0.00608138461538462,4.0
2010-07-13,1.76,9.09,16.0,1.5377272727272726,0.024580303030303,3.0
2010-07-14,1.33,8.33,27.0,1.1412,0.007344333333333345,3.0
2010-07-15,1.16,8.33,38.0,1.018076923076923,0.0026881538461538427,2.0
2010-07-16,1.39,9.09,27.0,1.2623076923076924,0.00985046153846153,2.0
2010-07-17,1.86,7.69,31.0,1.6307692307692307,0.00878338461538462,2.0
2010-07-18,1.88,8.33,31.0,1.7026923076923077,0.01676446153846154,3.0
2010-07-19,1.89,9.09,23.0,1.7534782608695652,0.009378260869565218,3.0
2010-07-20,1.64,8.33,18.0,1.4892307692307691,0.004167384615384615,3.0
2010-07-21,1.36,7.69,28.0,1.22,0.003367999999999998,2.0
2010-07-22,1.38,7.69,30.0,1.2415384615384615,0.005013538461538461,2.0
2010-07-23,1.19,6.67,37.0,1.1064,0.003115666666666657,1.0
2010-07-24,1.01,7.69,27.0,0.9226923076923076,0.0018444615384615372,1.0
2010-07-25,1.09,7.14,42.0,0.9712000000000001,0.0027026666666666675,1.0
2010-07-26,1.1,8.33,41.0,0.9870833333333334,0.003778079710144931,1.0
2010-07-27,0.89,8.33,45.0,0.8016,0.0020639999999999986,1.0
2010-07-28,1.01,8.33,20.0,0.8903846153846153,0.007147846153846164,1.0
2010-07-29,1.04,9.09,31.0,0.9372,0.003171000000000004,1.0
2010-07-30,1.45,7.14,51.0,1.2629166666666667,0.015995471014492748,1.0
2010-07-31,1.58,7.69,54.0,1.3836000000000002,0.005515666666666658,1.0
2010-08-01,1.64,6.67,51.0,1.4434615384615386,0.008391538461538445,2.0
2010-08-02,1.49,5.56,38.0,1.3722727272727273,0.003637445887445876,2.0
2010-08-03,1.67,8.33,38.0,1.5208333333333333,0.00628623188405799,2.0
2010-08-04,1.66,8.33,42.0,1.5304166666666665,0.005308514492753621,2.0
2010-08-05,1.62,8.33,37.0,1.395217391304348,0.011698814229248993,2.0
2010-08-06,1.27,8.33,41.0,1.1207692307692307,0.007551384615384604,2.0
2010-08-07,1.16,7.69,44.0,1.0338461538461539,0.006672615384615369,1.0
2010-08-08,1.35,6.25,48.0,1.1108,0.020316000000000015,1.0
2010-08-09,1.26,5.88,44.0,1.0092307692307694,0.009543384615384601,1.0
2010-08-10,1.31,5.88,51.0,1.1384615384615384,0.008405538461538445,1.0
2010-08-11,1.37,7.14,42.0,1.1504,0.022545666666666683,1.0
2010-08-12,1.13,6.25,47.0,0.9472,0.006512666666666677,1.0
2010-08-13,1.14,6.25,41.0,1.0073076923076925,0.0033004615384615438,1.0
2010-08-14,0.95,9.88,331.0,0.8657692307692308,0.002761384615384616,1.0
2010-08-15,0.9,9.09,322.0,0.7833333333333333,0.0026231884057971015,1.0
2010-08-16,1.07,5.88,47.0,0.9311538461538462,0.004602615384615389,1.0
2010-08-17,1.03,5.88,44.0,0.8824,0.00498566666666667,1.0
2010-08-18,0.97,7.69,3.0,0.8443999999999999,0.0028756666666666674,1.0
2010-08-19,1.23,12.5,314.0,1.1384,0.0018973333333333249,3.0
2010-08-20,1.44,6.25,51.0,1.288,0.0060750000000000075,2.0
2010-08-21,1.31,5.56,37.0,1.2031818181818181,0.003517965367965369,1.0
2010-08-22,1.31,6.67,44.0,1.2559090909090909,0.0013396103896103928,1.0
2010-08-23,1.14,6.67,44.0,1.0276190476190474,0.0031990476190476244,1.0
2010-08-24,1.31,7.14,40.0,1.1926923076923077,0.004068461538461545,1.0
2010-08-25,1.32,6.67,45.0,1.1396153846153845,0.004603846153846147,1.0
2010-08-26,1.22,5.26,49.0,1.0779166666666666,0.004069384057971018,1.0
2010-08-27,1.24,7.14,48.0,1.106923076923077,0.005030153846153834,1.0
2010-08-27,1.24,7.14,48.0,1.106923076923077,0.005030153846153834,1.0
2010-08-28,1.57,8.33,51.0,1.3533333333333333,0.017414492753623178,1.0
2010-08-29,1.68,7.69,40.0,1.5120833333333332,0.016225905797101453,1.0
2010-08-30,1.38,7.69,45.0,1.211818181818182,0.011263203463203477,1.0
2010-08-31,1.14,7.69,41.0,1.0566666666666666,0.0019014492753623245,1.0
2010-09-01,1.14,7.14,38.0,0.9807692307692307,0.007639384615384618,1.0
2010-09-02,1.02,6.67,44.0,0.9665217391304348,0.0012600790513833968,1.0
2010-09-03,1.15,6.67,40.0,0.9944,0.0069506666666666874,1.0
2010-09-04,1.14,5.56,38.0,1.0450000000000002,0.0020339999999999985,1.0
2010-09-05,1.08,6.25,49.0,0.9936,0.0016073333333333339,1.0
2010-09-06,1.18,6.67,44.0,1.073157894736842,0.0032450292397660733,1.0
2010-09-07,1.26,7.69,33.0,1.1392,0.0039076666666666565,1.0
2010-09-08,1.21,7.69,34.0,1.1123076923076922,0.004530461538461521,1.0
2010-09-09,1.17,9.09,34.0,1.0643478260869565,0.0036711462450592872,1.0
2010-09-10,1.16,9.09,31.0,1.0416666666666667,0.004597101449275365,1.0
2010-09-11,0.99,7.69,42.0,0.8588,0.00575266666666667,1.0
2010-09-12,0.88,7.14,37.0,0.7848,0.001700999999999997,1.0
2010-09-13,0.88,11.76,315.0,0.7964,0.0026323333333333437,1.0
2010-09-14,0.99,6.25,47.0,0.8964,0.0034323333333333324,1.0
2010-09-15,1.16,6.25,44.0,1.0664,0.003157333333333326,1.0
2010-09-16,1.13,5.56,54.0,1.0208,0.0028743333333333277,1.0
2010-09-17,1.16,5.56,49.0,1.0323076923076924,0.006594461538461537,1.0
2010-09-18,1.53,15.38,328.0,1.1672,0.026337666666666676,4.0
2010-09-19,2.35,13.33,321.0,1.9312,0.03156933333333331,7.0
2010-09-20,2.0,12.5,321.0,1.8108000000000002,0.00848266666666665,6.0
2010-09-21,1.73,11.76,331.0,1.5036,0.011832333333333308,4.0
2010-09-22,1.45,9.88,338.0,1.2608695652173914,0.008026482213438735,4.0
2010-09-23,1.9,14.29,331.0,1.6688,0.013119333333333325,5.0
2010-09-24,1.96,11.76,335.0,1.6707692307692308,0.015423384615384611,5.0
2010-09-25,1.39,11.11,339.0,1.2216,0.006447333333333318,4.0
2010-09-26,2.64,12.5,338.0,2.332692307692308,0.03714846153846162,9.0
2010-09-27,2.97,16.67,348.0,2.1908,0.06921599999999993,7.0
2010-09-28,3.21,13.33,333.0,2.7319999999999998,0.04450833333333339,12.0
2010-09-29,2.31,11.76,352.0,2.0587999999999997,0.01351933333333341,7.0
2010-09-30,2.41,15.38,326.0,2.0116666666666667,0.020344927536231884,6.0
2010-10-01,1.93,13.33,310.0,1.5799999999999998,0.022520000000000012,5.0
2010-10-02,2.29,11.76,333.0,2.0324,0.013194000000000011,6.0
2010-10-03,1.74,10.53,335.0,1.6175,0.007506521739130417,4.0
2010-10-04,1.68,7.14,35.0,1.5396,0.00957900000000003,3.0
2010-10-05,1.74,9.09,48.0,1.481153846153846,0.023642615384615366,2.0
2010-10-06,1.11,8.33,51.0,0.9048,0.008909333333333339,2.0
2010-10-07,1.85,9.88,332.0,1.3408000000000002,0.0790160000000001,4.0
2010-10-08,1.76,10.53,331.0,1.4508,0.037874333333333336,4.0
